01		Rodentologist	This bonus card's condition is ``Birds that eat [rodent]'', not ``Birds that only eat [rodent]'', and its clarification text is, ``Any bird with a [rodent] symbol. The bird may also eat other kinds of food." (These misprints were corrected in the third printing, and a corrected card is available in the update pack.)	Card update pack.
02a		Bewick's Wren	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Blue Grosbeak	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Chimney Swift	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Common Nighthawk	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Lincoln's Sparrow	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Song Sparrow	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		White-Crowned Sparrow	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02a		Yellow-Breasted Chat	When using this bird's power to move this bird to another habitat, the action cube does not change habitats with it.	https://www.stonemaiergames.com/games/wingspan/rules/
02b		Omnivore	The percentage on this bonus card should be 16\%. (This misprint was corrected in print by February 2020.)	https://www.stonemaiergames.com/games/wingspan/rules/
02c	Prairie		The word \textit{prairie} is a keyword for the \textbf{Cartographer} bonus card. (This omission was corrected in print by December 2019.)	https://www.stonemaiergames.com/games/wingspan/rules/
02c		Cartographer	The only keywords that qualify a bird to count toward this bonus card are those listed thereon, including \textit{prairie} (which is printed on this bonus card only in newer printings), and those in the relevant sections of the expansion rulebooks.	https://www.stonemaiergames.com/games/wingspan/rules/
02d		Greater Prairie Chicken	This bird counts toward the \textbf{Cartographer} bonus card. (In early printings that bonus card did list include the keyword \textit{prairie}.)	https://www.stonemaiergames.com/games/wingspan/rules/
02e		Photographer	The 3-point bonus applies when there are 4--5 qualifying birds on your player mat, not 2--3. (This misprint was corrected in the third printing, and a corrected card is available in the update pack.)	https://www.stonemaiergames.com/games/wingspan/rules/
02f		Spotted Sandpiper	This bird is worth 5 points, not 4. (This misprint was corrected in the third printing, and a corrected card is available in the update pack.)	https://www.stonemaiergames.com/games/wingspan/rules/
